WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,12/31/24,WTA250,Outdoor,Hard,2nd Round,3,Pera B.,Marino R.,71,102,896,756,7,6,6,4,,,2,0,Completed,1.8,2,1.71,2.22,1.84,2.22,1.76,2.05
1,Auckland,ASB Classic,1/1/25,WTA250,Outdoor,Hard,2nd Round,3,Osaka N.,Grabher J.,57,470,1014,112,7,5,6,3,,,2,0,Completed,1.04,13,1.04,15.14,1.05,15.14,1.04,11.03
1,Auckland,ASB Classic,1/1/25,WTA250,Outdoor,Hard,2nd Round,3,Tauson C.,Kenin S.,50,81,1070,848,4,6,7,6,7,6,2,1,Completed,1.67,2.2,1.74,2.19,1.74,2.2,1.7,2.14
1,Auckland,ASB Classic,1/1/25,WTA250,Outdoor,Hard,2nd Round,3,Volynets K.,Li A.,58,96,991,787,6,4,6,3,,,2,0,Completed,1.73,2.1,1.78,2.13,1.8,2.15,1.74,2.08
1,Auckland,ASB Classic,1/2/25,WTA250,Outdoor,Hard,2nd Round,3,Keys M.,Cristian J.,21,85,2126,832,6,1,6,2,,,2,0,Completed,1.14,5.5,1.19,5.14,1.2,5.5,1.17,4.87
1,Auckland,ASB Classic,1/2/25,WTA250,Outdoor,Hard,2nd Round,3,Montgomery R.,Hibino N.,117,145,639,496,6,2,6,2,,,2,0,Completed,1.73,2.1,1.73,2.19,1.75,2.24,1.7,2.13
1,Auckland,ASB Classic,1/2/25,WTA250,Outdoor,Hard,2nd Round,3,Parks A.,Minnen G.,82,95,841,791,7,5,6,3,,,2,0,Completed,1.91,1.91,1.97,1.9,2,2.01,1.9,1.88
1,Auckland,ASB Classic,1/2/25,WTA250,Outdoor,Hard,2nd Round,3,Baptiste H.,Burrage J.,92,179,805,398,5,7,7,5,7,6,2,1,Completed,1.5,2.63,1.55,2.57,1.58,2.63,1.54,2.47
1,Auckland,ASB Classic,1/2/25,WTA250,Outdoor,Hard,Quarterfinals,3,Montgomery R.,Pera B.,117,71,639,896,6,4,6,4,,,2,0,Completed,2.1,1.73,2.15,1.79,2.23,1.79,2.14,1.7
1,Auckland,ASB Classic,1/3/25,WTA250,Outdoor,Hard,Quarterfinals,3,Osaka N.,Baptiste H.,57,92,1014,805,6,7,6,1,6,2,2,1,Completed,1.22,4,1.27,4.14,1.27,4.25,1.24,3.94
1,Auckland,ASB Classic,1/3/25,WTA250,Outdoor,Hard,Quarterfinals,3,Tauson C.,Keys M.,50,21,1070,2126,6,4,7,6,,,2,0,Completed,3.2,1.36,3.47,1.36,3.47,1.36,3.25,1.33
1,Auckland,ASB Classic,1/3/25,WTA250,Outdoor,Hard,Quarterfinals,3,Parks A.,Volynets K.,82,58,841,991,6,1,6,4,,,2,0,Completed,2,1.8,2.05,1.86,2.1,1.86,2.03,1.78
1,Auckland,ASB Classic,1/4/25,WTA250,Outdoor,Hard,Semifinals,3,Tauson C.,Montgomery R.,50,117,1070,639,6,4,6,3,,,2,0,Completed,1.44,2.75,1.41,3.1,1.5,3.1,1.44,2.73
1,Auckland,ASB Classic,1/4/25,WTA250,Outdoor,Hard,Semifinals,3,Osaka N.,Parks A.,57,82,1014,841,6,4,6,2,,,2,0,Completed,1.22,4.33,1.23,4.57,1.3,4.57,1.22,4.18
1,Auckland,ASB Classic,1/5/25,WTA250,Outdoor,Hard,The Final,3,Tauson C.,Osaka N.,50,57,1070,1014,4,6,,,,,0,1,Retired,2.75,1.44,2.71,1.53,2.79,1.53,2.71,1.46
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Lamens S.,Rakhimova K.,87,60,821,987,6,2,6,4,,,2,0,Completed,1.8,2,1.87,2,1.89,2.02,1.82,1.98
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Krueger A.,Uchijima M.,64,62,969,981,6,3,1,6,6,3,2,1,Completed,1.3,3.5,1.31,3.7,1.33,3.7,1.3,3.48
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Joint M.,Inglis M.,116,154,645,471,6,3,6,4,,,2,0,Completed,1.67,2.2,1.65,2.34,1.68,2.35,1.62,2.28
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Zarazua R.,Tomova V.,75,53,882,1047,6,0,6,3,,,2,0,Completed,1.67,2.2,1.72,2.21,1.74,2.29,1.67,2.17
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Avanesyan E.,Sramkova R.,43,46,1182,1166,1,6,6,2,6,2,2,1,Completed,2,1.8,2.08,1.81,2.1,1.81,2.03,1.77
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Blinkova A.,Bejlek S.,77,161,866,441,6,1,7,6,,,2,0,Completed,2.2,1.67,2.29,1.68,2.29,1.73,2.19,1.67
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Bouzkova M.,Gibson T.,44,148,1178,487,7,6,3,6,6,3,2,1,Completed,1.2,4.5,1.23,4.56,1.23,4.56,1.2,4.37
2,Brisbane,Brisbane International,12/29/24,WTA500,Outdoor,Hard,1st Round,3,Kessler M.,Linette M.,67,38,924,1376,6,4,6,4,,,2,0,Completed,2.2,1.67,2.12,1.78,2.3,1.81,2.15,1.68
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Birrell K.,Hon P.,113,167,654,427,3,6,7,5,6,2,2,1,Completed,2,1.8,1.99,1.88,2.02,1.88,1.97,1.83
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Stearns P.,Kudermetova V.,47,72,1139,888,6,2,6,3,,,2,0,Completed,1.91,1.91,1.99,1.88,1.99,1.92,1.9,1.88
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Kalinina A.,Wang Y.,55,61,1030,983,6,4,2,0,,,1,0,Retired,2.1,1.73,2.14,1.77,2.14,1.77,2.08,1.73
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Kudermetova P.,Wang Xin.,107,37,701,1418,6,1,6,3,,,2,0,Completed,2.1,1.73,2.14,1.77,2.22,1.77,2.1,1.7
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Todoni A.,Bucsa C.,118,103,635,755,7,6,6,2,,,2,0,Completed,1.4,3,1.39,3.16,1.41,3.16,1.37,2.99
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Yuan Y.,Rus A.,49,76,1082,871,6,2,6,4,,,2,0,Completed,1.57,2.38,1.6,2.44,1.62,2.44,1.57,2.36
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Potapova A.,Bogdan A.,35,114,1482,653,2,6,6,4,2,0,1,1,Retired,1.91,1.91,1.99,1.88,1.99,1.91,1.92,1.85
2,Brisbane,Brisbane International,12/30/24,WTA500,Outdoor,Hard,1st Round,3,Jabeur O.,Zheng S.,42,692,1226,49,7,6,6,4,,,2,0,Completed,1.07,9,1.11,7.6,1.11,9.22,1.08,7.77
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Avanesyan E.,Badosa P.,43,12,1182,2908,6,3,1,6,6,2,2,1,Completed,4.33,1.22,3.88,1.29,4.34,1.32,3.87,1.25
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Putintseva Y.,Kessler M.,29,67,1844,924,6,2,7,5,,,2,0,Completed,1.44,2.75,1.44,2.93,1.46,3,1.42,2.8
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Krueger A.,Kalinskaya A.,64,14,969,2743,6,3,6,3,,,2,0,Completed,2.3,1.62,2.36,1.64,2.43,1.65,2.28,1.6
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Sabalenka A.,Zarazua R.,1,75,9416,882,6,4,6,0,,,2,0,Completed,1.02,19,1.04,15.53,1.04,19,1.02,13.47
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Andreeva M.,Blinkova A.,16,77,2578,866,6,4,6,4,,,2,0,Completed,1.2,4.5,1.24,4.46,1.24,4.6,1.21,4.37
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Bouzkova M.,Ostapenko J.,44,15,1178,2588,7,6,6,4,,,2,0,Completed,1.62,2.3,1.58,2.49,1.7,2.5,1.58,2.34
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Jabeur O.,Alexandrova E.,42,28,1226,1848,6,3,6,2,,,2,0,Completed,2,1.8,2.08,1.81,2.08,1.91,1.95,1.83
2,Brisbane,Brisbane International,12/31/24,WTA500,Outdoor,Hard,2nd Round,3,Kalinina A.,Shnaider D.,55,13,1030,2895,6,3,4,6,6,1,2,1,Completed,5,1.17,5.75,1.16,5.75,1.2,5,1.16
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Birrell K.,Navarro E.,113,8,654,3589,7,5,7,5,,,2,0,Completed,5,1.17,4.77,1.21,5.5,1.22,4.72,1.19
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova P.,Samsonova L.,107,27,701,1885,6,7,6,3,6,2,2,1,Completed,2.3,1.62,2.29,1.68,2.32,1.68,2.25,1.64
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Stearns P.,9,47,3368,1139,7,6,4,6,7,5,2,1,Completed,1.73,2.1,1.77,2.13,1.8,2.13,1.75,2.07
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Potapova A.,Yastremska D.,35,33,1482,1565,7,5,6,4,,,2,0,Completed,1.53,2.5,1.56,2.54,1.59,2.6,1.54,2.46
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Lamens S.,Frech M.,87,25,821,1928,7,5,6,3,,,2,0,Completed,2.38,1.57,2.32,1.66,2.4,1.73,2.29,1.6
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Yuan Y.,Kostyuk M.,49,18,1082,2493,6,4,6,3,,,2,0,Completed,2.75,1.44,2.52,1.57,2.75,1.6,2.59,1.49
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Joint M.,20,116,2127,645,6,7,6,2,6,4,2,1,Completed,1.36,3.2,1.42,3.04,1.44,3.2,1.38,2.98
2,Brisbane,Brisbane International,1/1/25,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Todoni A.,26,118,1913,635,6,1,6,4,,,2,0,Completed,1.4,3,1.48,2.79,1.48,3.2,1.43,2.77
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Birrell K.,Potapova A.,113,35,654,1482,7,6,6,2,,,2,0,Completed,2.63,1.5,2.55,1.57,2.75,1.57,2.52,1.51
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Krueger A.,Lamens S.,64,87,969,821,7,5,6,0,,,2,0,Completed,1.57,2.38,1.64,2.38,1.64,2.44,1.57,2.35
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Kudermetova P.,Kasatkina D.,107,9,701,3368,1,6,6,2,7,5,2,1,Completed,2.5,1.53,2.51,1.58,2.51,1.62,2.43,1.54
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Kalinina A.,Yuan Y.,55,49,1030,1082,6,1,6,4,,,2,0,Completed,2.2,1.67,2.22,1.73,2.25,1.73,2.17,1.67
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Andreeva M.,Noskova L.,16,26,2578,1913,6,3,6,0,,,2,0,Completed,1.57,2.38,1.57,2.54,1.61,2.54,1.56,2.37
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Jabeur O.,Avanesyan E.,42,43,1226,1182,6,4,1,6,6,4,2,1,Completed,1.67,2.2,1.77,2.16,1.81,2.2,1.7,2.13
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Bouzkova M.,Azarenka V.,44,20,1178,2127,6,4,6,4,,,2,0,Completed,2.2,1.67,2.17,1.76,2.25,1.76,2.13,1.69
2,Brisbane,Brisbane International,1/2/25,WTA500,Outdoor,Hard,3rd Round,3,Sabalenka A.,Putintseva Y.,1,29,9416,1844,7,6,6,4,,,2,0,Completed,1.13,6,1.17,5.74,1.17,7,1.14,5.55
2,Brisbane,Brisbane International,1/3/25,WTA500,Outdoor,Hard,Quarterfinals,3,Kalinina A.,Birrell K.,55,113,1030,654,4,6,6,1,7,5,2,1,Completed,1.73,2.1,1.74,2.23,1.74,2.23,1.71,2.14
2,Brisbane,Brisbane International,1/3/25,WTA500,Outdoor,Hard,Quarterfinals,3,Andreeva M.,Jabeur O.,16,42,2578,1226,6,4,7,6,,,2,0,Completed,1.3,3.5,1.29,4.02,1.31,4.02,1.29,3.61
2,Brisbane,Brisbane International,1/3/25,WTA500,Outdoor,Hard,Quarterfinals,3,Kudermetova P.,Krueger A.,107,64,701,969,7,6,6,3,,,2,0,Completed,2.38,1.57,2.64,1.55,2.64,1.65,2.37,1.57
2,Brisbane,Brisbane International,1/3/25,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Bouzkova M.,1,44,9416,1178,6,3,6,4,,,2,0,Completed,1.1,7,1.1,8.69,1.11,8.69,1.1,6.94
2,Brisbane,Brisbane International,1/4/25,WTA500,Outdoor,Hard,Semifinals,3,Kudermetova P.,Kalinina A.,107,55,701,1030,6,4,6,3,,,2,0,Completed,1.91,1.91,2.07,1.85,2.07,1.95,1.93,1.85
2,Brisbane,Brisbane International,1/4/25,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Andreeva M.,1,16,9416,2578,6,3,6,2,,,2,0,Completed,1.36,3.2,1.4,3.24,1.4,3.5,1.35,3.17
2,Brisbane,Brisbane International,1/5/25,WTA500,Outdoor,Hard,The Final,3,Sabalenka A.,Kudermetova P.,1,107,9416,701,4,6,6,3,6,2,2,1,Completed,1.06,10,1.07,12.14,1.08,12.14,1.06,9.33
3,Adelaide,Adelaide International,1/6/25,WTA500,Outdoor,Hard,1st Round,3,Putintseva Y.,Vekic D.,25,19,1894,2228,6,2,6,3,,,2,0,Completed,1.67,2.2,1.73,2.19,1.73,2.22,1.68,2.15
3,Adelaide,Adelaide International,1/6/25,WTA500,Outdoor,Hard,1st Round,3,Jones E.,Wang Xin.,371,37,163,1418,6,4,6,0,,,2,0,Completed,5,1.17,5.7,1.17,5.7,1.18,5.21,1.16
3,Adelaide,Adelaide International,1/6/25,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Fernandez L.A.,27,31,1848,1755,6,4,3,6,6,2,2,1,Completed,3.4,1.33,3.27,1.37,3.4,1.37,3.22,1.34
3,Adelaide,Adelaide International,1/6/25,WTA500,Outdoor,Hard,1st Round,3,Kasatkina D.,Gadecki O.,9,106,3368,725,6,2,6,3,,,2,0,Completed,1.29,3.75,1.32,3.63,1.33,4.5,1.28,3.59
3,Adelaide,Adelaide International,1/6/25,WTA500,Outdoor,Hard,1st Round,3,Vondrousova M.,Pavlyuchenkova A.,39,28,1343,1807,6,4,6,7,6,2,2,1,Completed,1.8,2,1.85,2.03,1.85,2.03,1.81,1.98
3,Adelaide,Adelaide International,1/6/25,WTA500,Outdoor,Hard,1st Round,3,Badosa P.,Stearns P.,12,47,2908,1171,6,7,6,3,7,5,2,1,Completed,1.53,2.5,1.52,2.65,1.54,2.69,1.51,2.53
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Keys M.,Haddad Maia B.,20,16,2180,2554,6,2,6,1,,,2,0,Completed,1.44,2.75,1.48,2.8,1.48,2.9,1.44,2.75
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Sakkari M.,Noskova L.,32,30,1654,1778,6,3,6,3,,,2,0,Completed,2.63,1.5,2.52,1.57,2.63,1.58,2.53,1.51
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Samsonova L.,Bouzkova M.,26,42,1885,1262,1,6,6,4,6,1,2,1,Completed,2.2,1.67,2.05,1.83,2.22,1.83,2.11,1.72
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Ostapenko J.,Frech M.,17,24,2481,1928,4,6,6,1,6,1,2,1,Completed,1.67,2.2,1.72,2.21,1.78,2.22,1.7,2.14
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Shnaider D.,Siniakova K.,13,46,2895,1177,6,3,0,6,6,0,2,1,Completed,1.5,2.63,1.51,2.68,1.54,2.68,1.5,2.57
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Krueger A.,Kostyuk M.,54,18,1050,2471,4,6,6,2,6,2,2,1,Completed,2,1.8,2.06,1.83,2.1,1.9,1.99,1.81
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Bencic B.,Kalinskaya A.,421,14,138,2721,6,2,1,0,,,1,0,Retired,1.53,2.5,1.67,2.3,1.67,2.5,1.6,2.32
3,Adelaide,Adelaide International,1/7/25,WTA500,Outdoor,Hard,1st Round,3,Jabeur O.,Collins D.,40,11,1334,3147,7,6,6,2,,,2,0,Completed,1.73,2.1,1.8,2.09,1.81,2.15,1.76,2.06
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Navarro E.,Alexandrova E.,8,27,3551,1848,7,6,6,4,,,2,0,Completed,1.57,2.38,1.68,2.3,1.68,2.5,1.61,2.3
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Sakkari M.,7,32,4671,1654,6,4,6,1,,,2,0,Completed,1.62,2.3,1.64,2.38,1.67,2.38,1.61,2.3
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Samsonova L.,Bencic B.,26,421,1885,138,7,6,4,6,6,4,2,1,Completed,2.63,1.5,2.64,1.54,2.64,1.57,2.49,1.53
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Krueger A.,Badosa P.,54,12,1050,2908,7,6,6,7,6,2,2,1,Completed,2.75,1.44,2.89,1.46,2.89,1.5,2.67,1.47
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Shnaider D.,Vondrousova M.,13,39,2895,1343,4,6,1,1,,,0,1,Retired,1.62,2.3,1.69,2.28,1.73,2.32,1.66,2.21
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Keys M.,Ostapenko J.,20,17,2180,2481,3,6,6,4,6,3,2,1,Completed,1.29,3.75,1.34,3.56,1.35,3.75,1.31,3.41
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Putintseva Y.,Jabeur O.,25,40,1894,1334,6,2,6,4,,,2,0,Completed,1.73,2.1,1.77,2.16,1.78,2.16,1.73,2.08
3,Adelaide,Adelaide International,1/8/25,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Jones E.,9,371,3368,163,7,5,6,3,,,2,0,Completed,1.17,5,1.19,5.34,1.2,5.34,1.17,4.88
3,Adelaide,Adelaide International,1/9/25,WTA500,Outdoor,Hard,Quarterfinals,3,Samsonova L.,Navarro E.,26,8,1885,3551,6,4,6,4,,,2,0,Completed,2.2,1.67,2.28,1.71,2.3,1.73,2.2,1.66
3,Adelaide,Adelaide International,1/9/25,WTA500,Outdoor,Hard,Quarterfinals,3,Pegula J.,Krueger A.,7,54,4671,1050,6,4,2,0,,,1,0,Retired,1.4,3,1.42,3.11,1.42,3.11,1.39,2.96
3,Adelaide,Adelaide International,1/9/25,WTA500,Outdoor,Hard,Quarterfinals,3,Keys M.,Kasatkina D.,20,9,2180,3368,6,1,6,3,,,2,0,Completed,1.44,2.75,1.52,2.73,1.52,2.88,1.44,2.73
3,Adelaide,Adelaide International,1/9/25,WTA500,Outdoor,Hard,Quarterfinals,3,Putintseva Y.,Shnaider D.,25,13,1894,2895,7,6,6,7,6,4,2,1,Completed,1.62,2.3,1.73,2.24,1.73,2.32,1.63,2.24
3,Adelaide,Adelaide International,1/10/25,WTA500,Outdoor,Hard,Semifinals,3,Keys M.,Samsonova L.,20,26,2180,1885,5,7,7,5,3,0,1,1,Retired,1.33,3.4,1.38,3.33,1.38,3.4,1.35,3.17
3,Adelaide,Adelaide International,1/10/25,WTA500,Outdoor,Hard,Semifinals,3,Pegula J.,Putintseva Y.,7,25,4671,1894,7,6,6,3,,,2,0,Completed,1.5,2.63,1.6,2.5,1.6,2.77,1.49,2.58
3,Adelaide,Adelaide International,1/11/25,WTA500,Outdoor,Hard,The Final,3,Keys M.,Pegula J.,20,7,2180,4671,6,3,4,6,6,1,2,1,Completed,1.8,2,1.9,2.01,1.9,2.02,1.82,1.98
4,Hobart,Hobart International,1/6/25,WTA250,Outdoor,Hard,1st Round,3,Kessler M.,Sramkova R.,67,49,938,1166,6,3,7,5,,,2,0,Completed,1.8,2,1.85,2.02,2.1,2.03,1.83,1.97
4,Hobart,Hobart International,1/6/25,WTA250,Outdoor,Hard,1st Round,3,Avanesyan E.,Wang Xiy.,44,108,1212,706,6,3,7,5,,,2,0,Completed,2,1.8,2.01,1.87,2.02,1.88,1.99,1.81
4,Hobart,Hobart International,1/6/25,WTA250,Outdoor,Hard,1st Round,3,Bondar A.,Sherif M.,97,65,786,955,7,5,6,4,,,2,0,Completed,1.91,1.91,2.07,1.82,2.2,2,1.91,1.89
4,Hobart,Hobart International,1/6/25,WTA250,Outdoor,Hard,1st Round,3,Carle M.,Bouzas Maneiro J.,96,52,797,1057,6,3,3,6,6,0,2,1,Completed,2.3,1.62,2.37,1.64,2.38,1.69,2.26,1.63
4,Hobart,Hobart International,1/6/25,WTA250,Outdoor,Hard,1st Round,3,Minnen G.,Tomova V.,94,56,800,1047,7,5,6,3,,,2,0,Completed,1.53,2.5,1.57,2.51,1.65,2.54,1.56,2.4
4,Hobart,Hobart International,1/6/25,WTA250,Outdoor,Hard,1st Round,3,Osorio M.,Yuan Y.,61,51,989,1142,6,2,6,3,,,2,0,Completed,2.2,1.67,2.4,1.62,2.4,1.69,2.25,1.63
4,Hobart,Hobart International,1/6/25,WTA250,Outdoor,Hard,1st Round,3,Kudermetova V.,Cocciaretto E.,77,55,888,1048,7,5,6,0,,,2,0,Completed,1.62,2.3,1.63,2.38,1.67,2.38,1.6,2.32
4,Hobart,Hobart International,1/7/25,WTA250,Outdoor,Hard,1st Round,3,Blinkova A.,Pera B.,75,70,898,920,7,5,6,4,,,2,0,Completed,1.91,1.91,1.97,1.89,2,1.91,1.92,1.86
4,Hobart,Hobart International,1/7/25,WTA250,Outdoor,Hard,1st Round,3,Li A.,Stephens S.,91,84,808,851,7,5,6,1,,,2,0,Completed,1.53,2.5,1.53,2.62,1.54,2.62,1.52,2.51
