WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Adelaide,Adelaide International 1,1/4/23,WTA500,Outdoor,Hard,2nd Round,3,Kostyuk M.,Rybakina E.,69,21,820,1860,6,7,6,2,6,3,2,1,Completed,3.2,1.36,3.67,1.32,3.67,1.36,3.27,1.33
1,Adelaide,Adelaide International 1,1/4/23,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Andreescu B.,9,46,2795,1066,6,4,6,0,,,2,0,Completed,1.67,2.2,1.62,2.43,1.67,2.52,1.61,2.3
1,Adelaide,Adelaide International 1,1/5/23,WTA500,Outdoor,Hard,2nd Round,3,Noskova L.,Liu C.,102,59,620,880,6,2,6,2,,,2,0,Completed,1.73,2.1,1.72,2.24,1.74,2.34,1.68,2.18
1,Adelaide,Adelaide International 1,1/5/23,WTA500,Outdoor,Hard,2nd Round,3,Begu I.,Ostapenko J.,34,18,1347,1986,6,3,6,0,,,2,0,Completed,2.75,1.44,2.88,1.47,3.15,1.47,2.8,1.43
1,Adelaide,Adelaide International 1,1/5/23,WTA500,Outdoor,Hard,2nd Round,3,Azarenka V.,Zheng Q.,26,28,1597,1528,6,2,7,5,,,2,0,Completed,2.2,1.67,2.16,1.77,2.27,1.77,2.16,1.68
1,Adelaide,Adelaide International 1,1/5/23,WTA500,Outdoor,Hard,2nd Round,3,Jabeur O.,Cirstea S.,2,45,5055,1087,7,6,6,1,,,2,0,Completed,1.29,3.75,1.3,3.89,1.3,3.95,1.27,3.71
1,Adelaide,Adelaide International 1,1/6/23,WTA500,Outdoor,Hard,Quarterfinals,3,Sabalenka A.,Vondrousova M.,5,92,3925,662,6,3,7,5,,,2,0,Completed,1.8,2,1.81,2.11,1.91,2.2,1.78,2.03
1,Adelaide,Adelaide International 1,1/6/23,WTA500,Outdoor,Hard,Quarterfinals,3,Begu I.,Kudermetova V.,34,9,1347,2795,7,5,6,4,,,2,0,Completed,4,1.25,3.8,1.31,4,1.31,3.79,1.26
1,Adelaide,Adelaide International 1,1/6/23,WTA500,Outdoor,Hard,Quarterfinals,3,Noskova L.,Azarenka V.,102,26,620,1597,6,4,6,7,7,6,2,1,Completed,2.63,1.5,2.66,1.54,2.66,1.57,2.57,1.5
1,Adelaide,Adelaide International 1,1/6/23,WTA500,Outdoor,Hard,Quarterfinals,3,Jabeur O.,Kostyuk M.,2,69,5055,820,7,6,7,5,,,2,0,Completed,1.36,3.2,1.41,3.19,1.41,3.21,1.36,3.09
1,Adelaide,Adelaide International 1,1/7/23,WTA500,Outdoor,Hard,Semifinals,3,Sabalenka A.,Begu I.,5,34,3925,1347,6,3,6,2,,,2,0,Completed,1.36,3.2,1.39,3.3,1.39,3.45,1.35,3.16
1,Adelaide,Adelaide International 1,1/7/23,WTA500,Outdoor,Hard,Semifinals,3,Noskova L.,Jabeur O.,102,2,620,5055,6,3,1,6,6,3,2,1,Completed,3.5,1.3,3.61,1.34,3.61,1.38,3.36,1.32
1,Adelaide,Adelaide International 1,1/8/23,WTA500,Outdoor,Hard,The Final,3,Sabalenka A.,Noskova L.,5,102,3925,620,6,3,7,6,,,2,0,Completed,1.36,3.2,1.32,3.71,1.38,3.71,1.35,3.22
2,Auckland,ASB Classic,1/2/23,WTA250,Outdoor,Hard,1st Round,3,Zhu L.,Brengle M.,84,57,712,888,4,6,7,6,6,4,2,1,Completed,2.2,1.67,2.47,1.6,2.47,1.68,2.33,1.59
2,Auckland,ASB Classic,1/2/23,WTA250,Outdoor,Hard,1st Round,3,Marino R.,Galfi D.,63,83,859,715,6,3,7,6,,,2,0,Completed,1.44,2.75,1.41,3.11,1.46,3.11,1.42,2.83
2,Auckland,ASB Classic,1/2/23,WTA250,Outdoor,Hard,1st Round,3,Bonaventure Y.,Mcnally C.,95,93,651,661,5,7,6,4,6,4,2,1,Completed,2.63,1.5,2.71,1.52,2.96,1.53,2.61,1.49
2,Auckland,ASB Classic,1/2/23,WTA250,Outdoor,Hard,1st Round,3,Fernandez L.A.,Fruhvirtova B.,40,132,1193,470,6,1,6,1,,,2,0,Completed,1.36,3.2,1.42,3.1,1.42,3.17,1.38,2.98
2,Auckland,ASB Classic,1/2/23,WTA250,Outdoor,Hard,1st Round,3,Grabher J.,Martincova T.,82,71,729,800,5,7,6,1,6,2,2,1,Completed,3,1.4,3.23,1.39,3.34,1.44,3.03,1.37
2,Auckland,ASB Classic,1/2/23,WTA250,Outdoor,Hard,1st Round,3,Williams V.,Volynets K.,1003,113,13,556,7,6,6,2,,,2,0,Completed,3,1.4,3.4,1.36,3.4,1.4,3.03,1.37
2,Auckland,ASB Classic,1/3/23,WTA250,Outdoor,Hard,1st Round,3,Blinkova A.,Cocciaretto E.,73,64,794,850,6,4,4,6,7,5,2,1,Completed,2,1.8,2.03,1.86,2.08,1.89,1.97,1.82
2,Auckland,ASB Classic,1/3/23,WTA250,Outdoor,Hard,1st Round,3,Kuzmova V.,Pera B.,134,44,467,1097,6,4,6,4,,,2,0,Completed,2.2,1.67,2.3,1.68,2.3,1.73,2.2,1.65
2,Auckland,ASB Classic,1/3/23,WTA250,Outdoor,Hard,1st Round,3,Raducanu E.,Fruhvirtova L.,78,79,755,746,4,6,6,4,6,2,2,1,Completed,1.53,2.5,1.51,2.73,1.53,2.75,1.49,2.59
2,Auckland,ASB Classic,1/3/23,WTA250,Outdoor,Hard,1st Round,3,Ruse E.G.,Routliffe E.,116,855,547,21,6,2,4,6,6,4,2,1,Completed,1.05,11,1.04,15.93,1.07,15.93,1.04,10.73
2,Auckland,ASB Classic,1/3/23,WTA250,Outdoor,Hard,1st Round,3,Gauff C.,Maria T.,7,68,3646,824,6,4,6,1,,,2,0,Completed,1.13,6,1.11,7.91,1.14,7.91,1.11,6.38
2,Auckland,ASB Classic,1/4/23,WTA250,Outdoor,Hard,1st Round,3,Davis L.,Zidansek T.,87,85,706,709,6,2,6,1,,,2,0,Completed,1.67,2.2,1.7,2.26,1.71,2.3,1.66,2.21
2,Auckland,ASB Classic,1/4/23,WTA250,Outdoor,Hard,1st Round,3,Kenin S.,Wang Xin.,227,86,284,708,7,6,6,3,,,2,0,Completed,1.8,2,1.91,1.98,1.95,2.1,1.82,1.98
2,Auckland,ASB Classic,1/4/23,WTA250,Outdoor,Hard,1st Round,3,Muchova K.,Wang Xiy.,151,50,416,997,5,3,,,,,0,0,Retired,1.5,2.63,1.48,2.84,1.55,2.84,1.48,2.63
2,Auckland,ASB Classic,1/4/23,WTA250,Outdoor,Hard,1st Round,3,Kovinic D.,Hibino N.,60,138,879,451,6,1,6,4,,,2,0,Completed,2.5,1.53,2.67,1.53,2.67,1.57,2.51,1.51
2,Auckland,ASB Classic,1/4/23,WTA250,Outdoor,Hard,1st Round,3,Masarova R.,Stephens S.,130,37,476,1244,6,3,7,6,,,2,0,Completed,2.75,1.44,2.88,1.47,2.9,1.52,2.71,1.45
2,Auckland,ASB Classic,1/4/23,WTA250,Outdoor,Hard,2nd Round,3,Zhu L.,Williams V.,84,1003,712,13,3,6,6,2,7,5,2,1,Completed,1.44,2.75,1.46,2.9,1.5,2.9,1.43,2.78
2,Auckland,ASB Classic,1/5/23,WTA250,Outdoor,Hard,2nd Round,3,Kovinic D.,Davis L.,60,87,879,706,4,6,6,3,6,2,2,1,Completed,2.75,1.44,2.87,1.47,2.9,1.52,2.73,1.45
2,Auckland,ASB Classic,1/5/23,WTA250,Outdoor,Hard,2nd Round,3,Masarova R.,Blinkova A.,130,73,476,794,6,1,6,4,,,2,0,Completed,2.3,1.62,2.17,1.76,2.45,1.76,2.19,1.66
2,Auckland,ASB Classic,1/5/23,WTA250,Outdoor,Hard,2nd Round,3,Gauff C.,Kenin S.,7,227,3646,284,6,4,6,4,,,2,0,Completed,1.2,4.5,1.22,4.75,1.3,4.75,1.2,4.42
2,Auckland,ASB Classic,1/5/23,WTA250,Outdoor,Hard,2nd Round,3,Muchova K.,Ruse E.G.,151,116,416,547,6,4,6,1,,,2,0,Completed,1.36,3.2,1.34,3.51,1.38,3.51,1.33,3.26
2,Auckland,ASB Classic,1/5/23,WTA250,Outdoor,Hard,2nd Round,3,Kuzmova V.,Raducanu E.,134,78,467,755,0,6,7,5,,,1,1,Retired,2.75,1.44,2.92,1.46,2.96,1.46,2.81,1.42
2,Auckland,ASB Classic,1/5/23,WTA250,Outdoor,Hard,2nd Round,3,Bonaventure Y.,Marino R.,95,63,651,859,3,6,6,3,6,3,2,1,Completed,2.38,1.57,2.49,1.65,2.49,1.66,2.33,1.59
2,Auckland,ASB Classic,1/5/23,WTA250,Outdoor,Hard,2nd Round,3,Fernandez L.A.,Grabher J.,40,82,1193,729,6,0,6,1,,,2,0,Completed,1.14,5.5,1.16,6.01,1.2,6.01,1.15,5.36
2,Auckland,ASB Classic,1/6/23,WTA250,Outdoor,Hard,Quarterfinals,3,Gauff C.,Zhu L.,7,84,3646,712,6,3,6,2,,,2,0,Completed,1.08,8,1.11,8.12,1.13,8.12,1.1,6.93
2,Auckland,ASB Classic,1/6/23,WTA250,Outdoor,Hard,Quarterfinals,3,Kovinic D.,Kuzmova V.,60,134,879,467,6,3,6,2,,,2,0,Completed,2.1,1.73,2.2,1.76,2.2,1.84,2.11,1.72
2,Auckland,ASB Classic,1/6/23,WTA250,Outdoor,Hard,Quarterfinals,3,Bonaventure Y.,Fernandez L.A.,95,40,651,1193,6,4,6,2,,,2,0,Completed,3.5,1.3,4.29,1.26,4.29,1.31,3.82,1.26
2,Auckland,ASB Classic,1/6/23,WTA250,Outdoor,Hard,Quarterfinals,3,Masarova R.,Muchova K.,130,151,476,416,7,6,7,6,,,2,0,Completed,3,1.4,2.94,1.46,3.06,1.46,2.89,1.41
2,Auckland,ASB Classic,1/7/23,WTA250,Outdoor,Hard,Semifinals,3,Gauff C.,Kovinic D.,7,60,3646,879,6,0,6,2,,,2,0,Completed,1.14,5.5,1.18,5.75,1.19,5.85,1.15,5.43
2,Auckland,ASB Classic,1/7/23,WTA250,Outdoor,Hard,Semifinals,3,Masarova R.,Bonaventure Y.,130,95,476,651,6,3,6,3,,,2,0,Completed,1.8,2,1.88,2.03,1.88,2.1,1.8,2
2,Auckland,ASB Classic,1/8/23,WTA250,Outdoor,Hard,The Final,3,Gauff C.,Masarova R.,7,130,3646,476,6,1,6,1,,,2,0,Completed,1.17,5,1.2,5.21,1.2,5.45,1.18,4.9
3,Adelaide,Adelaide International 2,1/9/23,WTA500,Outdoor,Hard,1st Round,3,Kvitova P.,Rybakina E.,16,23,2176,1610,6,3,7,5,,,2,0,Completed,2.3,1.62,2.52,1.58,2.6,1.67,2.37,1.57
3,Adelaide,Adelaide International 2,1/9/23,WTA500,Outdoor,Hard,1st Round,3,Teichmann J.,Pavlyuchenkova A.,33,365,1350,141,7,5,6,4,,,2,0,Completed,1.53,2.5,1.6,2.44,1.62,2.55,1.55,2.42
3,Adelaide,Adelaide International 2,1/9/23,WTA500,Outdoor,Hard,1st Round,3,Collins D.,Pliskova Ka.,14,31,2288,1426,6,2,6,4,,,2,0,Completed,2,1.8,1.91,1.98,2,2,1.89,1.9
3,Adelaide,Adelaide International 2,1/9/23,WTA500,Outdoor,Hard,1st Round,3,Haddad Maia B.,Cirstea S.,15,43,2215,1112,7,6,6,1,,,2,0,Completed,1.5,2.63,1.6,2.48,1.62,2.63,1.55,2.44
3,Adelaide,Adelaide International 2,1/9/23,WTA500,Outdoor,Hard,1st Round,3,Alexandrova E.,Fourlis J.,20,160,1910,389,7,5,6,3,,,2,0,Completed,1.1,7,1.13,7.15,1.13,7.15,1.11,6.46
3,Adelaide,Adelaide International 2,1/9/23,WTA500,Outdoor,Hard,1st Round,3,Bencic B.,Muguruza G.,13,58,2365,923,6,3,6,4,,,2,0,Completed,1.33,3.4,1.37,3.31,1.4,3.55,1.34,3.21
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Zheng Q.,Rogers S.,30,53,1455,990,4,6,6,4,6,0,2,1,Completed,1.57,2.38,1.62,2.43,1.63,2.51,1.58,2.36
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Anisimova A.,Samsonova L.,29,19,1467,1964,7,5,6,3,,,2,0,Completed,2.75,1.44,3.18,1.4,3.25,1.46,2.93,1.39
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Krejcikova B.,Riske-Amritraj A.,21,41,1850,1180,6,2,7,6,,,2,0,Completed,1.33,3.4,1.35,3.44,1.35,3.58,1.32,3.32
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Ostapenko J.,64,18,869,2040,6,3,6,4,,,2,0,Completed,1.8,2,1.94,1.94,1.94,2.05,1.85,1.94
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Siniakova K.,Potapova A.,48,45,1000,1079,6,1,1,0,,,1,0,Retired,1.91,1.91,1.87,2.03,2,2.03,1.89,1.89
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Kudermetova V.,Azarenka V.,9,25,2715,1597,2,6,7,6,6,4,2,1,Completed,1.57,2.38,1.65,2.37,1.67,2.38,1.6,2.31
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Kanepi K.,Sanders S.,32,227,1405,280,6,2,6,2,,,2,0,Completed,1.3,3.5,1.32,3.65,1.32,3.65,1.29,3.48
3,Adelaide,Adelaide International 2,1/10/23,WTA500,Outdoor,Hard,1st Round,3,Badosa P.,Kontaveit A.,11,17,2387,2093,6,4,6,3,,,2,0,Completed,2.2,1.67,2.19,1.75,2.25,1.75,2.14,1.69
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Collins D.,Teichmann J.,14,33,2288,1350,6,3,7,6,,,2,0,Completed,1.33,3.4,1.38,3.27,1.44,3.27,1.37,3.1
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Kvitova P.,Zheng Q.,16,30,2176,1455,7,6,,,,,1,0,Retired,1.53,2.5,1.62,2.43,1.69,2.43,1.62,2.3
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Bencic B.,Kalinskaya A.,13,64,2365,869,6,3,6,3,,,2,0,Completed,1.33,3.4,1.35,3.44,1.4,3.44,1.36,3.17
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Haddad Maia B.,Anisimova A.,15,29,2215,1467,6,4,7,5,,,2,0,Completed,1.8,2,1.84,2.06,1.88,2.08,1.81,2.01
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Kasatkina D.,Krejcikova B.,8,21,3380,1850,6,2,7,5,,,2,0,Completed,2.1,1.73,2.15,1.78,2.2,1.81,2.12,1.73
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Badosa P.,Kanepi K.,11,32,2387,1405,6,1,7,5,,,2,0,Completed,1.44,2.75,1.53,2.68,1.59,2.79,1.5,2.56
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Kudermetova V.,Alexandrova E.,9,20,2715,1910,,,,,,,,,Walkover,1.5,2.63,1.51,2.72,1.55,2.72,1.49,2.58
3,Adelaide,Adelaide International 2,1/11/23,WTA500,Outdoor,Hard,2nd Round,3,Garcia C.,Siniakova K.,4,48,4415,1000,6,3,3,6,7,5,2,1,Completed,1.29,3.75,1.37,3.31,1.37,3.6,1.34,3.23
3,Adelaide,Adelaide International 2,1/12/23,WTA500,Outdoor,Hard,Quarterfinals,3,Kasatkina D.,Kvitova P.,8,16,3380,2176,6,3,7,6,,,2,0,Completed,2.1,1.73,2.19,1.76,2.2,2.02,2.11,1.72
3,Adelaide,Adelaide International 2,1/12/23,WTA500,Outdoor,Hard,Quarterfinals,3,Badosa P.,Haddad Maia B.,11,15,2387,2215,7,6,7,5,,,2,0,Completed,1.67,2.2,1.7,2.29,1.76,2.38,1.68,2.18
3,Adelaide,Adelaide International 2,1/12/23,WTA500,Outdoor,Hard,Quarterfinals,3,Kudermetova V.,Collins D.,9,14,2715,2288,4,6,7,6,6,1,2,1,Completed,1.8,2,1.88,2.02,1.88,2.17,1.81,1.98
3,Adelaide,Adelaide International 2,1/12/23,WTA500,Outdoor,Hard,Quarterfinals,3,Bencic B.,Garcia C.,13,4,2365,4415,6,2,3,6,6,4,2,1,Completed,1.67,2.2,1.75,2.21,1.76,2.31,1.68,2.17
3,Adelaide,Adelaide International 2,1/13/23,WTA500,Outdoor,Hard,Semifinals,3,Kasatkina D.,Badosa P.,8,11,3380,2387,,,,,,,,,Walkover,2.1,1.73,2.08,1.84,2.17,1.86,2.05,1.77
3,Adelaide,Adelaide International 2,1/13/23,WTA500,Outdoor,Hard,Semifinals,3,Bencic B.,Kudermetova V.,13,9,2365,2715,,,,,,,,,Walkover,1.67,2.2,1.73,2.24,1.76,2.28,1.68,2.17
3,Adelaide,Adelaide International 2,1/14/23,WTA500,Outdoor,Hard,The Final,3,Bencic B.,Kasatkina D.,13,8,2365,3380,6,0,6,2,,,2,0,Completed,1.57,2.38,1.57,2.59,1.57,2.62,1.53,2.48
4,Hobart,Hobart International,1/9/23,WTA250,Outdoor,Hard,1st Round,3,Kalinina A.,Marino R.,40,66,1197,859,6,2,6,1,,,2,0,Completed,1.4,3,1.4,3.2,1.42,3.2,1.38,3
4,Hobart,Hobart International,1/9/23,WTA250,Outdoor,Hard,1st Round,3,Siegemund L.,Martincova T.,170,73,368,800,5,7,6,1,6,2,2,1,Completed,2.5,1.53,2.76,1.5,2.76,1.53,2.61,1.49
4,Hobart,Hobart International,1/9/23,WTA250,Outdoor,Hard,1st Round,3,Davis L.,Stephens S.,84,36,734,1244,6,2,6,2,,,2,0,Completed,2.1,1.73,2.1,1.81,2.2,1.81,2.08,1.74
4,Hobart,Hobart International,1/9/23,WTA250,Outdoor,Hard,1st Round,3,Maria T.,Gibson T.,71,340,824,157,6,3,6,2,,,2,0,Completed,1.17,5,1.22,4.84,1.23,5.25,1.19,4.64
4,Hobart,Hobart International,1/9/23,WTA250,Outdoor,Hard,1st Round,3,Bouzkova M.,Cristian J.,26,143,1552,442,7,6,6,3,,,2,0,Completed,1.13,6,1.15,6.42,1.17,6.42,1.13,5.82
4,Hobart,Hobart International,1/9/23,WTA250,Outdoor,Hard,1st Round,3,Wang Xin.,Gadecki O.,89,200,698,326,6,4,7,5,,,2,0,Completed,1.5,2.63,1.49,2.81,1.5,2.88,1.45,2.72
4,Hobart,Hobart International,1/9/23,WTA250,Outdoor,Hard,1st Round,3,Paolini J.,Tig P.M.,65,790,867,28,6,3,6,1,,,2,0,Completed,1.11,6.5,1.15,6.35,1.15,7.9,1.12,6.05
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Putintseva Y.,Liu C.,51,59,995,912,6,2,6,4,,,2,0,Completed,2.1,1.73,2.05,1.85,2.12,1.88,2.02,1.77
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Parrizas Diaz N.,Sherif M.,77,52,772,991,2,6,6,2,6,1,2,1,Completed,1.57,2.38,1.59,2.49,1.6,2.55,1.56,2.4
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Cocciaretto E.,Cornet A.,67,34,850,1347,6,4,6,2,,,2,0,Completed,2.2,1.67,2.35,1.66,2.35,1.73,2.21,1.65
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Pera B.,Brengle M.,44,62,1086,876,6,4,6,4,,,2,0,Completed,2,1.8,1.93,1.95,2.05,1.95,1.95,1.84
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Bonaventure Y.,Zidansek T.,92,88,679,709,6,7,6,2,6,2,2,1,Completed,1.73,2.1,1.73,2.22,1.76,2.22,1.72,2.11
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Kenin S.,Zhu L.,280,85,214,724,6,2,6,2,,,2,0,Completed,1.53,2.5,1.55,2.61,1.62,2.61,1.53,2.47
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Blinkova A.,Bronzetti L.,72,50,809,996,6,4,6,3,,,2,0,Completed,1.44,2.75,1.51,2.74,1.51,2.8,1.45,2.7
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Zanevska M.,Mertens E.,87,27,715,1475,6,4,6,4,,,2,0,Completed,3.4,1.33,2.99,1.44,3.4,1.45,2.91,1.4
4,Hobart,Hobart International,1/10/23,WTA250,Outdoor,Hard,1st Round,3,Van Uytvanck A.,Linette M.,70,46,828,1060,6,4,1,6,6,4,2,1,Completed,3,1.4,2.89,1.47,3.04,1.47,2.85,1.41
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Pera B.,Siegemund L.,44,170,1086,368,6,4,6,7,6,4,2,1,Completed,1.44,2.75,1.51,2.74,1.51,2.9,1.46,2.72
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Cocciaretto E.,Paolini J.,67,65,850,867,6,2,6,1,,,2,0,Completed,1.8,2,1.87,2.02,1.87,2.06,1.81,2
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Kalinina A.,Maria T.,40,71,1197,824,4,6,6,3,6,3,2,1,Completed,1.2,4.5,1.22,4.83,1.22,4.95,1.2,4.54
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Davis L.,Bonaventure Y.,84,92,734,679,7,6,6,3,,,2,0,Completed,1.53,2.5,1.55,2.6,1.6,2.6,1.55,2.42
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Kenin S.,Zanevska M.,280,87,214,715,6,2,6,3,,,2,0,Completed,1.62,2.3,1.68,2.3,1.71,2.53,1.64,2.26
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Blinkova A.,Bouzkova M.,72,26,809,1552,7,5,6,4,,,2,0,Completed,3,1.4,3.33,1.37,3.33,1.42,3.09,1.36
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Wang Xin.,Van Uytvanck A.,89,70,698,828,7,5,4,6,6,3,2,1,Completed,2.3,1.62,2.33,1.67,2.4,1.73,2.24,1.64
4,Hobart,Hobart International,1/11/23,WTA250,Outdoor,Hard,2nd Round,3,Putintseva Y.,Parrizas Diaz N.,51,77,995,772,6,2,6,3,,,2,0,Completed,1.57,2.38,1.7,2.27,1.7,2.45,1.59,2.34
4,Hobart,Hobart International,1/12/23,WTA250,Outdoor,Hard,Quarterfinals,3,Cocciaretto E.,Pera B.,67,44,850,1086,5,7,7,6,6,4,2,1,Completed,1.73,2.1,1.81,2.12,1.93,2.15,1.76,2.04
4,Hobart,Hobart International,1/12/23,WTA250,Outdoor,Hard,Quarterfinals,3,Kenin S.,Kalinina A.,280,40,214,1197,4,6,6,3,6,1,2,1,Completed,2.1,1.73,2.15,1.79,2.15,1.83,2.07,1.75
